location_id,pickup_count,dropoff_count
79,9303,5317
48,4879,4243
68,4813,3494
170,1925,3063
107,2728,2850
148,9118,2794
249,5273,2758
230,4009,2631
137,1277,2396
90,2381,2377
186,2632,2366
164,3496,2218
263,1397,2126
141,1703,2101
234,3055,1936
231,2034,1900
7,515,1845
246,2549,1791
87,577,1751
233,716,1711
229,1532,1686
114,4377,1570
144,2860,1534
50,1250,1498
163,2116,1493
142,1084,1486
162,1719,1436
238,683,1426
239,1033,1399
264,1583,1383
75,471,1378
236,527,1332
113,1462,1314
74,504,1310
158,3296,1285
140,586,1195
161,1920,1177
42,243,1176
41,426,1142
100,2038,1112
116,241,1091
4,624,1087
244,137,1038
262,221,1030
256,498,971
143,285,931
237,902,931
232,522,928
226,312,917
255,596,905
151,318,832
211,1168,828
224,150,799
129,212,790
145,269,752
166,458,744
125,1166,740
80,251,736
223,71,733
261,383,729
112,191,725
37,136,724
181,214,721
61,67,717
13,213,655
265,156,612
17,88,608
260,154,511
152,139,505
49,77,480
82,130,475
36,113,474
243,41,463
45,372,463
88,367,458
225,46,449
24,230,447
179,87,446
209,208,437
43,246,428
25,181,420
97,118,419
33,54,400
65,136,390
146,178,336
89,29,330
189,43,296
188,18,290
168,52,288
228,18,273
95,14,258
198,12,250
127,24,233
40,37,227
14,8,214
173,18,182
193,73,177
66,24,165
83,35,159
69,12,145
132,1648,139
62,8,137
157,9,136
227,8,134
106,43,133
257,6,131
159,14,119
247,17,114
133,8,113
52,19,112
202,4,109
56,7,108
195,1,100
177,7,96
70,9,93
138,431,89
196,20,89
169,6,88
92,5,79
160,3,78
119,8,75
212,5,72
76,5,72
216,15,71
220,3,70
18,6,68
85,9,65
67,0,64
54,2,61
71,3,58
248,3,58
258,2,57
217,25,57
28,5,56
22,15,54
200,1,53
136,3,53
165,2,53
197,4,52
235,6,51
147,1,50
190,5,50
130,12,49
102,5,49
167,1,49
241,5,49
91,3,47
35,2,46
12,15,46
250,3,44
134,3,44
126,3,43
10,12,42
78,3,41
94,3,41
72,3,41
219,10,40
47,5,38
20,2,38
39,4,38
174,4,36
182,8,36
26,6,35
208,3,34
135,7,34
29,1,33
259,0,33
1,4,33
123,3,33
21,0,33
149,0,31
16,0,29
171,1,29
121,1,29
252,1,28
131,2,27
185,1,27
210,2,27
213,2,26
63,1,26
205,3,24
11,0,24
64,1,24
242,2,24
254,4,23
215,4,22
218,1,21
60,1,21
57,1,20
155,0,19
53,0,19
9,1,19
77,2,18
183,0,17
93,7,17
108,1,17
191,2,17
124,3,16
192,0,16
120,3,15
178,0,15
98,4,14
150,1,13
180,2,13
34,0,12
139,0,12
201,0,12
32,0,12
15,0,11
115,0,11
73,0,10
203,2,10
118,2,10
81,1,10
153,1,10
55,0,9
240,1,9
51,0,8
101,0,8
3,2,8
38,0,8
117,0,8
8,0,7
221,1,7
6,1,7
128,2,7
111,0,7
175,0,7
206,0,6
122,0,6
86,1,6
222,0,6
214,0,5
19,1,5
23,0,5
59,0,4
251,0,4
31,0,4
245,0,4
204,1,4
109,0,4
5,0,3
46,0,3
194,1,3
58,0,3
184,0,2
187,0,2
44,0,2
253,0,2
30,0,1
96,0,1
176,0,1
84,0,1
172,0,1
2,1,0
