location_id,pickup_count,dropoff_count
236,20688,17520
237,18693,14845
170,13187,12355
162,12607,20030
186,12078,7644
238,10759,7487
141,10639,6454
142,10376,8129
239,10111,6859
48,9985,5377
140,9916,8776
138,9518,6602
229,9414,4850
107,9067,6405
161,8731,24852
230,8681,12479
234,8557,11336
263,8393,4634
100,7533,6363
163,7002,11635
164,6915,6995
262,6898,3164
68,6522,6432
231,6167,6989
233,6125,6457
79,6079,2801
143,5916,4110
90,5706,4099
113,5630,3766
137,5625,5573
249,5265,3387
13,5243,5298
246,4839,7972
132,4717,3010
43,4675,4219
151,4623,1820
50,4293,3660
264,4181,3501
75,3932,5722
158,3516,2755
87,2975,3237
166,2579,4832
114,2220,2360
41,2178,1743
74,2043,3121
148,1959,1037
125,1923,2209
24,1826,1028
144,1640,1744
211,1545,1741
261,1397,1643
88,1109,2880
42,1103,1102
224,959,381
226,902,588
4,884,729
33,879,980
116,815,534
244,729,1263
7,717,590
209,670,1099
65,670,681
52,661,111
40,620,159
232,570,1120
152,503,632
45,482,1046
179,416,232
146,389,379
97,336,299
25,321,407
193,288,404
260,277,276
181,275,423
66,266,281
145,260,690
129,242,330
223,232,333
10,150,63
49,141,218
265,118,522
82,109,151
243,103,246
89,93,111
95,90,160
61,73,214
188,70,102
247,63,137
256,59,188
216,58,69
168,57,205
189,57,104
70,56,85
255,56,244
17,54,135
83,52,100
219,46,29
12,46,515
76,46,58
228,45,114
93,45,54
39,44,49
80,43,138
112,41,258
130,41,100
37,41,148
72,41,40
51,40,20
225,40,118
54,38,30
35,38,20
91,38,34
196,38,70
92,36,107
14,36,87
127,35,124
213,34,29
215,33,33
165,32,48
69,29,137
28,29,58
71,27,62
106,27,95
85,26,32
135,26,60
218,25,31
205,24,31
177,24,42
195,23,89
56,23,55
210,23,23
134,22,52
62,22,77
123,21,37
155,20,26
133,20,32
19,20,19
1,20,796
29,19,22
26,19,67
77,19,12
220,18,59
167,18,48
197,17,57
174,16,60
194,16,163
159,16,123
212,16,22
119,16,48
258,15,33
78,15,26
257,15,41
55,15,27
81,15,17
222,15,9
235,15,49
124,14,19
250,13,28
202,13,52
259,13,25
32,13,28
169,12,44
200,12,117
248,12,21
21,12,23
254,12,51
191,11,26
11,10,6
34,10,61
139,10,17
22,10,30
47,10,35
131,10,31
38,10,21
190,10,27
153,10,8
217,10,54
175,10,26
15,9,12
207,9,15
198,9,55
178,9,17
121,9,36
182,9,23
203,8,23
18,8,31
126,8,48
147,8,20
208,8,37
136,8,34
157,8,38
171,7,46
242,7,35
180,7,12
252,7,20
185,6,44
241,6,40
173,6,50
63,6,21
160,5,44
16,5,26
227,5,42
60,5,13
149,5,33
64,4,12
3,4,9
8,4,3
98,4,30
128,4,35
53,4,21
108,4,11
150,4,17
192,4,44
101,3,12
122,3,6
58,3,3
67,3,32
94,3,8
73,2,14
96,2,4
206,2,4
102,2,32
111,2,3
9,2,11
36,2,79
154,1,8
221,1,3
86,1,11
240,1,9
105,1,1
20,1,37
30,0,1
59,0,1
184,0,2
183,0,3
187,0,1
214,0,2
31,0,10
120,0,6
46,0,1
6,0,1
118,0,2
201,0,7
23,0,3
156,0,1
176,0,2
115,0,4
245,0,1
117,0,17
204,0,2
253,0,2
172,0,2
57,0,9
