total,avg(tip),var_samp(tip),count(tip)
0~5,0.05956395236163802,0.04390394174900231,1785609
10~15,1.4224645647224203,1.029788113931807,28777011
15~20,2.034332104877184,1.906605983630959,13761620
20~25,2.67826759143667,3.0738797415334584,6740147
25~30,3.3397708497153373,4.768723869435394,3385051
30~35,3.7012520772260333,7.257141907401024,1955572
35~40,4.208071904779245,9.455548546477868,1569480
40~45,5.088389719295793,11.310362272082648,1359954
45~50,6.266829481623026,12.438405490590613,1108439
50~60,4.950570139457174,22.900694738235178,1807143
5~10,0.7556725584886295,0.5066054439324584,36302698
60~70,7.847097319127063,22.101504809428913,1135997
>70,12.306788338233604,57.08915296246468,1428301
