DOLocationID,dohour,mean_hour,sd_hour
1,0,1.9548872180451127,1.1711285423487592
1,1,1.5625,0.8922283500155261
1,2,1.695852534562212,0.9951881156649105
1,3,3.9442896935933147,2.4339806889241125
1,4,13.082191780821917,5.675166223681537
1,5,20.506849315068493,7.556605595294495
1,6,29.96164383561644,9.798164076417725
1,7,32.75068493150685,10.543253705825549
1,8,25.67945205479452,9.299576956349306
1,9,24.153424657534245,8.341510163689112
1,10,23.312328767123287,7.761626252881376
1,11,24.134246575342466,8.214571266528749
1,12,31.961748633879782,10.636904545203231
1,13,40.02191780821918,12.539369283428607
1,14,47.11232876712329,13.27213002859793
1,15,50.52054794520548,14.158744423675964
1,16,46.271232876712325,14.716566499010401
1,17,33.30684931506849,12.05249881490455
1,18,29.323287671232876,10.20771256231924
1,19,25.863013698630137,11.686042990797999
1,20,14.853994490358128,7.775024063843132
1,21,6.866666666666666,3.9111297515101224
1,22,3.4545454545454546,2.261275963688913
1,23,2.41726618705036,1.6072906124917732
2,1,1.0,
2,2,1.0,
2,3,1.0,
2,6,1.0,0.0
2,7,1.0,0.0
2,8,1.0,0.0
2,9,1.0,0.0
2,10,1.2,0.4472135954999579
2,11,1.0,0.0
2,12,1.0,
2,13,1.0,0.0
2,14,1.0,0.0
2,15,1.0,0.0
2,16,1.0,0.0
2,17,1.0,0.0
2,18,1.0,0.0
2,19,1.0,0.0
2,20,1.0,0.0
2,21,1.0,0.0
2,22,1.0,0.0
2,23,1.0,
3,0,1.8636363636363635,1.0190036681145132
3,1,1.5429864253393666,0.7711904285503148
3,2,1.3660130718954249,0.7140657678958101
3,3,1.2735849056603774,0.7241812305128694
3,4,1.3106796116504855,0.6108355931305426
3,5,1.2619047619047619,0.5832821057745642
3,6,1.1025641025641026,0.345273977030009
3,7,1.256,0.5806559138789343
3,8,1.3357664233576643,0.6561627786606108
3,9,1.4329896907216495,0.7327599398349006
3,10,1.5594059405940595,0.8097267173438543
3,11,1.4615384615384615,0.7407906700357758
3,12,1.3891891891891892,0.598813947199589
3,13,1.5294117647058822,0.7714854503216209
3,14,1.402061855670103,0.7502648073368128
3,15,1.395,0.7152151168121258
3,16,1.5,0.7748784944897539
3,17,1.5297029702970297,0.8414681028124803
3,18,1.5938864628820961,0.775817172598286
3,19,1.606060606060606,0.8370536192672047
3,20,1.74,0.935897224302878
3,21,1.688259109311741,0.9083979273303441
3,22,1.8212927756653992,0.9381660696596239
3,23,1.9077490774907748,1.1590125537575784
4,0,76.25479452054795,34.44111490508785
4,1,59.21369863013699,39.394013166602676
4,2,44.97527472527472,36.84323044198081
4,3,32.967123287671235,30.734220711541525
4,4,23.994520547945207,21.495846074638433
4,5,10.598901098901099,7.556115061468264
4,6,10.61917808219178,3.774577246332268
4,7,19.263013698630136,6.068009858258449
4,8,25.745205479452054,9.493969183145651
4,9,23.646575342465752,6.078562632650969
4,10,28.87123287671233,8.657548942721576
4,11,35.02191780821918,10.010684492291972
4,12,41.07671232876712,12.015540767304406
4,13,45.07397260273972,14.818221143456801
4,14,50.846575342465755,13.269336731933299
4,15,56.68493150684932,13.043752148784561
4,16,58.36986301369863,13.19143375193662
4,17,72.83835616438355,15.62590331575228
4,18,95.6311475409836,23.290141657052427
4,19,103.91506849315068,25.073647954920194
4,20,104.46849315068494,24.798356449839083
4,21,102.55616438356165,24.50342533972541
4,22,100.58904109589041,25.917152248489476
4,23,94.72404371584699,30.80869510849973
5,0,1.1904761904761905,0.5054867366041313
5,1,1.0975609756097562,0.3744915251898559
5,2,1.1,0.4025778999364487
5,3,1.0416666666666667,0.20412414523193148
5,4,1.1111111111111112,0.32338083338177726
5,5,1.0,0.0
5,6,1.3333333333333333,0.5163977794943222
5,7,1.0,0.0
5,8,1.3333333333333333,0.816496580927726
5,9,1.0769230769230769,0.27735009811261463
5,10,1.1111111111111112,0.3333333333333333
5,11,1.0,0.0
5,12,1.0,0.0
5,13,1.0454545454545454,0.21320071635561041
5,14,1.04,0.2
5,15,1.0,0.0
5,16,1.04,0.2
5,17,1.1,0.3038218101251
5,18,1.0606060606060606,0.24230584229877994
5,19,1.0,0.0
5,20,1.0816326530612246,0.34379831138556316
5,21,1.1728395061728396,0.38046430373919843
5,22,1.163265306122449,0.4255848317076066
5,23,1.1403508771929824,0.3981473386299918
6,0,1.3305785123966942,0.5383374058473321
6,1,1.1538461538461537,0.5116036177923899
6,2,1.1692307692307693,0.4863521990681871
6,3,1.2173913043478262,0.5126421094361541
6,4,1.0408163265306123,0.19991494790174602
6,5,1.0123456790123457,0.11111111111111109
6,6,1.0285714285714285,0.1690308509457033
6,7,1.0,0.0
6,8,1.0384615384615385,0.19611613513818402
6,9,1.075,0.2667467828369185
6,10,1.0847457627118644,0.2808936228404366
6,11,1.0555555555555556,0.23121228232266414
6,12,1.0392156862745099,0.1960392117639214
6,13,1.0888888888888888,0.28779903201415186
6,14,1.1756756756756757,0.44898998091479286
6,15,1.1772151898734178,0.5002433682305216
6,16,1.1625,0.403897154474261
6,17,1.1833333333333333,0.5672313570575753
6,18,1.1237113402061856,0.3309623580926188
6,19,1.2264150943396226,0.5395415843971626
6,20,1.2395833333333333,0.5757337042814274
6,21,1.3046875,0.5406119855290277
6,22,1.218543046357616,0.5150280216984877
6,23,1.35,0.6224227437541514
7,0,118.47945205479452,40.34055222161797
7,1,95.0,47.91567684914914
7,2,67.27197802197803,40.21176979736692
7,3,49.66849315068493,36.277883844563625
7,4,49.75616438356165,35.83253550381613
7,5,24.019178082191782,14.518921507473536
7,6,18.057534246575344,7.7537285927591055
7,7,21.339726027397262,6.619541909344481
7,8,21.7013698630137,6.510863558097819
7,9,21.71780821917808,8.435588895747832
7,10,24.361643835616437,9.48571265341345
7,11,25.367123287671234,9.39324129821047
7,12,25.50958904109589,8.957042848445608
7,13,28.975342465753425,9.190113249818138
7,14,33.18082191780822,9.828203662657945
7,15,35.25753424657534,10.597505379898776
7,16,35.71232876712329,10.703906357969823
7,17,39.07945205479452,12.430542840251464
7,18,49.31232876712329,17.305147119128804
7,19,57.394520547945206,15.294111939011376
7,20,66.71506849315068,15.579851662041909
7,21,81.17808219178082,23.293364655438836
7,22,99.3972602739726,28.717332001919065
7,23,112.11748633879782,30.873136262862783
8,0,1.163265306122449,0.3715078651058041
8,1,1.2424242424242424,0.6403269109413532
8,2,1.1125,0.35556159892894984
8,3,1.1702127659574468,0.4333463789871949
8,4,1.0526315789473684,0.22528177844479153
8,5,1.103448275862069,0.30993404669460345
8,6,1.0,0.0
8,7,1.3,1.1188047809743369
8,8,1.3571428571428572,0.731020885058378
8,9,1.1666666666666667,0.37719547023291206
8,10,1.1346153846153846,0.3974845491556826
8,11,1.0232558139534884,0.15249857033260464
8,12,1.125,0.3843530573929037
8,13,1.2307692307692308,0.6140634384863434
8,14,1.125,0.46952587304060844
8,15,1.1818181818181819,0.523570314404736
8,16,1.141025641025641,0.4179218523344701
8,17,1.1323529411764706,0.4539844091183789
8,18,1.1475409836065573,0.4410618087362394
8,19,1.2,0.537222109501004
8,20,1.25,0.6350852961085883
8,21,1.1797752808988764,0.5343176990077454
8,22,1.2211538461538463,0.4612505325432929
8,23,1.1759259259259258,0.4896824014346804
9,0,1.8917748917748918,1.183756680885371
9,1,1.5862068965517242,0.7936673222251521
9,2,1.3680555555555556,0.6557601448101033
9,3,1.2555555555555555,0.5312929133728868
9,4,1.3211678832116789,0.5807488392197138
9,5,1.2162162162162162,0.5304500614371135
9,6,1.2142857142857142,0.4597175286907895
9,7,1.2118644067796611,0.4866015923344945
9,8,1.5873015873015872,0.7642599111249958
9,9,1.3736263736263736,0.6916766665236699
9,10,1.3795180722891567,0.7265124722939625
9,11,1.2585034013605443,0.51135644719143
9,12,1.3957219251336899,0.6422263759435332
9,13,1.6371681415929205,0.9195356016565446
9,14,1.6059113300492611,0.7974988947630101
9,15,1.559090909090909,0.8227135693961635
9,16,1.6347826086956523,0.8128921334696999
9,17,1.7136563876651982,1.0140335326319034
9,18,1.6830357142857142,0.9144959544671082
9,19,1.7165354330708662,0.9771915699350784
9,20,2.0588235294117645,1.5498509543006223
9,21,2.0636042402826855,1.4980544400088351
9,22,2.097122302158273,1.2551377415770524
9,23,2.174074074074074,1.942307789305284
10,0,7.895604395604396,3.572944309481792
10,1,4.8841807909604515,3.0972213684498526
10,2,2.5992779783393503,2.3347717012773974
10,3,2.0308370044052864,1.572417310696686
10,4,1.7253886010362693,1.7327206386906073
10,5,1.7291666666666667,0.9449177718388834
10,6,2.4607843137254903,1.3814098426342936
10,7,2.611111111111111,1.6307797903022359
10,8,2.60062893081761,1.4234182368563562
10,9,2.9161676646706587,1.7099362461209286
10,10,3.320809248554913,1.7223090108124643
10,11,2.888888888888889,1.669074565827373
10,12,3.5524079320113313,1.9138256347931624
10,13,4.168067226890757,2.123911463686801
10,14,4.8535911602209945,2.314138365639207
10,15,5.9559228650137745,2.6254674752597893
10,16,6.25,2.9139400872282755
10,17,6.258241758241758,2.71397022195056
10,18,7.967123287671233,3.136809763597427
10,19,8.795081967213115,3.432971135209381
10,20,10.493150684931507,4.027799305292554
10,21,9.73076923076923,3.551128088568445
10,22,9.394520547945206,3.804706830879977
10,23,9.841095890410958,3.8504971712824925
11,0,2.1538461538461537,1.2827166448402494
11,1,1.8347826086956522,1.0649676361616662
11,2,1.680473372781065,0.8754099792253041
11,3,1.4472049689440993,0.7656747115943918
11,4,1.4285714285714286,0.7657466163722354
11,5,1.3176470588235294,0.7647835243992132
11,6,1.23,0.5478147589295218
11,7,1.2857142857142858,0.5733821790809959
11,8,1.3247863247863247,0.6134843930378601
11,9,1.2710843373493976,0.5210781644342471
11,10,1.3866666666666667,0.68332651276129
11,11,1.3252032520325203,0.5506469363520763
11,12,1.261111111111111,0.521749194749951
11,13,1.467005076142132,0.7320488894224985
11,14,1.4789473684210526,0.8338594830227097
11,15,1.456043956043956,0.7173784057683339
11,16,1.3917525773195876,0.6527216996709261
11,17,1.4867724867724867,0.711669191681031
11,18,1.4851485148514851,0.829959675171462
11,19,1.7056451612903225,1.0599673373131946
11,20,1.895131086142322,1.1256805300280153
11,21,2.072463768115942,1.2188679168320402
11,22,2.2118055555555554,1.312071879552292
11,23,2.078291814946619,1.159244797380689
12,0,3.3601190476190474,2.0394801761160695
12,1,2.465034965034965,1.6016990426839122
12,2,2.344,1.8567320257002748
12,3,1.9583333333333333,1.3513559082261324
12,4,1.819047619047619,1.2200945322302021
12,5,1.748898678414097,2.881653305461008
12,6,2.4840989399293285,8.05712724556148
12,7,7.966666666666667,6.77608443972342
12,8,19.92054794520548,7.132323860774631
12,9,25.832876712328765,8.500291766073959
12,10,25.56986301369863,8.659217995862239
12,11,22.32054794520548,8.031787104657068
12,12,18.326027397260273,7.303507124520976
12,13,14.071428571428571,6.4867193967423935
12,14,12.087671232876712,5.562135164118447
12,15,8.820441988950277,4.465109035182835
12,16,6.395543175487465,3.420213030821807
12,17,5.149425287356322,3.282224365717423
12,18,5.404558404558404,3.5085824188909394
12,19,4.404624277456647,2.6470396925217634
12,20,3.5676470588235296,2.1045281407299026
12,21,3.4054054054054053,1.9140179386538574
12,22,3.765765765765766,2.5752118463153284
12,23,3.619335347432024,2.51181224796351
13,0,67.46575342465754,30.32601347326733
13,1,41.794520547945204,27.816983755931123
13,2,28.00826446280992,23.39647322000233
13,3,19.09090909090909,18.231476636067956
13,4,13.39010989010989,10.949244837993449
13,5,12.556164383561644,5.082316528079015
13,6,50.25479452054795,27.803139602024093
13,7,129.61369863013698,76.73299166352241
13,8,179.5879120879121,91.90077573531464
13,9,190.35342465753425,72.17647420852289
13,10,166.65205479452055,37.2176111479153
13,11,156.813698630137,28.00153702153273
13,12,153.6958904109589,23.920727817702733
13,13,145.586301369863,23.102288758864084
13,14,148.67945205479452,22.37624672015726
13,15,133.94520547945206,23.50022820263228
13,16,114.01095890410959,24.705404721024617
13,17,115.12876712328767,23.106475232100266
13,18,134.52328767123288,25.443162905033496
13,19,134.72328767123287,28.48930067407391
13,20,128.86027397260273,33.663161541656734
13,21,131.97808219178083,36.6384857652312
13,22,126.52328767123288,36.40836201103198
13,23,99.53150684931506,32.533790028250436
14,0,18.553424657534247,8.64472910283938
14,1,12.868493150684932,8.10672080274859
14,2,8.629526462395543,6.158004968667221
14,3,7.122857142857143,5.545259764290475
14,4,6.3497109826589595,5.396371559036996
14,5,3.143769968051118,2.0928222505881218
14,6,3.063768115942029,1.6126292101190793
14,7,3.5028571428571427,1.8243004255249773
14,8,3.4301994301994303,1.9228252175527603
14,9,3.3936781609195403,1.7732125325934471
14,10,3.8971428571428572,1.9018142016165318
14,11,4.093922651933702,2.0403184191734467
